Date,TCS.NS,INFY.NS,RELIANCE.NS,HDFCBANK.NS,DMART.NS
2024-01-01,3689.464599609375,1512.3936767578125,1290.7442626953125,1675.2239990234375,4064.75
2024-01-02,3662.454833984375,1495.869384765625,1301.4329833984375,1676.2105712890625,4103.35009765625
2024-01-03,3573.923828125,1452.5843505859375,1287.281005859375,1650.363525390625,3932.35009765625
2024-01-04,3549.769775390625,1474.7142333984375,1293.933349609375,1668.07177734375,3897.85009765625
2024-01-05,3618.600830078125,1494.0657958984375,1299.439697265625,1659.5382080078125,3863.5
2024-01-08,3560.90283203125,1484.5606689453125,1289.2991943359375,1641.040771484375,3804.39990234375
2024-01-09,3572.1328125,1490.8974609375,1285.8857421875,1628.2652587890625,3810.75
2024-01-10,3594.5439453125,1481.7333984375,1320.568115234375,1633.641845703125,3822.0
2024-01-11,3616.32568359375,1456.6787109375,1355.3001708984375,1626.7855224609375,3821.35009765625
2024-01-12,3758.8759765625,1572.2518310546875,1366.0885009765625,1619.090576171875,3841.0
2024-01-15,3779.205810546875,1610.61376953125,1389.409423828125,1650.264892578125,3858.25
2024-01-16,3738.0625,1590.579833984375,1369.975341796875,1656.5294189453125,3828.300048828125
2024-01-17,3760.61865234375,1599.012451171875,1356.9693603515625,1516.78759765625,3786.449951171875
2024-01-18,3778.04443359375,1601.352294921875,1363.3228759765625,1466.12939453125,3748.85009765625
2024-01-19,3834.890869140625,1617.535400390625,1362.8245849609375,1450.838134765625,3731.699951171875
2024-01-23,3752.417236328125,1600.9136962890625,1324.0810546875,1408.1214599609375,3675.89990234375
2024-01-24,3736.418212890625,1633.32861328125,1339.329345703125,1436.286865234375,3727.75
2024-01-25,3705.782470703125,1627.186767578125,1348.4981689453125,1415.56982421875,3734.25
2024-01-29,3696.737548828125,1615.000732421875,1443.1519775390625,1435.0537109375,3749.39990234375
2024-01-30,3696.299560546875,1609.97998046875,1402.8636474609375,1424.8431396484375,3687.300048828125
2024-01-31,3711.277099609375,1619.1927490234375,1421.7994384765625,1442.8472900390625,3792.699951171875
2024-02-01,3748.42919921875,1615.439453125,1421.8243408203125,1446.5960693359375,3808.199951171875
2024-02-02,3857.503173828125,1650.827880859375,1452.769287109375,1426.668212890625,3784.300048828125
2024-02-05,3864.311279296875,1644.832275390625,1434.157470703125,1425.3857421875,3729.60009765625
2024-02-06,4022.548583984375,1686.021240234375,1422.970458984375,1424.645751953125,3727.39990234375
2024-02-07,3971.39111328125,1651.2178955078125,1437.27197265625,1410.6864013671875,3717.699951171875
2024-02-08,4020.700439453125,1649.6092529296875,1445.219970703125,1384.14892578125,3731.050048828125
2024-02-09,4020.3115234375,1627.4305419921875,1455.8089599609375,1384.69140625,3719.199951171875
2024-02-12,4007.66796875,1637.91064453125,1447.4373779296875,1371.274658203125,3675.60009765625
2024-02-13,4035.677734375,1642.2489013671875,1460.144287109375,1375.6646728515625,3703.199951171875
2024-02-14,3987.633056640625,1624.359619140625,1476.3642578125,1365.40478515625,3722.39990234375
2024-02-15,3990.64794921875,1634.254638671875,1465.6256103515625,1395.000732421875,3678.60009765625
2024-02-16,4015.05908203125,1658.91943359375,1455.634521484375,1400.7718505859375,3693.300048828125
2024-02-19,3991.231201171875,1657.067138671875,1469.01416015625,1398.009521484375,3707.25
2024-02-20,3920.087646484375,1642.9312744140625,1466.04931640625,1434.70849609375,3756.199951171875
2024-02-21,3882.011962890625,1613.9771728515625,1462.7354736328125,1419.7625732421875,3835.75
2024-02-22,3974.98974609375,1639.129150390625,1476.7379150390625,1400.4266357421875,3851.449951171875
2024-02-23,3940.94970703125,1634.7421875,1488.57275390625,1401.46240234375,3840.550048828125
2024-02-26,3891.300048828125,1618.461669921875,1482.2940673828125,1403.1395263671875,3850.35009765625
2024-02-27,3991.81494140625,1621.8248291015625,1480.624755859375,1401.0185546875,3852.199951171875
2024-02-28,4005.96630859375,1629.2828369140625,1450.7012939453125,1390.413330078125,3850.0
2024-02-29,3982.770263671875,1631.8663330078125,1455.85888671875,1384.494140625,3918.89990234375
2024-03-01,3982.040771484375,1613.1483154296875,1487.077880859375,1411.4757080078125,3884.14990234375
2024-03-04,3968.76513671875,1596.0877685546875,1502.30126953125,1413.3994140625,3846.35009765625
2024-03-05,3902.046875,1566.1588134765625,1495.12548828125,1421.4395751953125,3834.5
2024-03-06,3952.815185546875,1576.9312744140625,1497.9161376953125,1423.166015625,3888.64990234375
2024-03-07,3995.899658203125,1575.85888671875,1473.922607421875,1426.618896484375,3925.949951171875
2024-03-11,4009.273193359375,1560.406982421875,1461.63916015625,1408.5654296875,3979.64990234375
2024-03-12,4077.25537109375,1572.4468994140625,1470.4344482421875,1439.8876953125,4031.699951171875
2024-03-13,4035.19140625,1570.9356689453125,1427.3306884765625,1440.726318359375,3967.800048828125
2024-03-14,4092.1845703125,1611.7835693359375,1426.633056640625,1435.8428955078125,4019.25
2024-03-15,4103.5146484375,1592.96826171875,1413.4278564453125,1433.0806884765625,3932.10009765625
2024-03-18,4038.595458984375,1562.4053955078125,1434.60595703125,1426.569580078125,4010.550048828125
2024-03-19,3868.201416015625,1522.239990234375,1420.4290771484375,1429.8250732421875,4014.10009765625
2024-03-20,3861.976806640625,1515.9033203125,1438.866455078125,1411.771728515625,4056.35009765625
2024-03-21,3863.970947265625,1515.6595458984375,1446.0670166015625,1426.2735595703125,4163.10009765625
2024-03-22,3803.62255859375,1470.9608154296875,1450.1033935546875,1423.41259765625,4297.60009765625
2024-03-26,3771.138671875,1455.167724609375,1436.6988525390625,1406.19775390625,4486.2001953125
